type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Sophie Turner,Tye Sheridan","United States, Canada",2021-09-03,2019,PG-13,115,"Action-Adventure,Family,Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet."
TV Show,Alaska Animal Rescue,0,Victoria Vosburg,United States,2021-09-01,2019,TV-PG,2,"Animals & Nature,Docuseries,Family",Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.
TV Show,Dug Days,0,"Bob Peterson,Ed Asner,Jordan Nagai",United States,2021-09-01,2021,TV-PG,1,"Animation,Comedy,Family","“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”"
Movie,Cruella,Craig Gillespie,"Emma Stone,Emma Thompson,Joel Fry,Paul Walter Hauser,Emily Beecham,Kirby Howell-Baptiste","United States, United Kingdom",2021-08-27,2021,PG-13,137,"Crime,Drama","Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil."
Movie,Dan in Real Life,Peter Hedges,"Steve Carell,Juliette Binoche,Dane Cook,John Mahoney,Emily Blunt,Alison Pill",United States,2021-08-27,2007,PG-13,99,"Comedy,Drama,Romance",A relationship expert falls in love with his brother's new girlfriend.
Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz,Natalie Peyser,Dara Reneé,Frankie Rodriguez,Julia Lester,Ruth Righi",0,2021-08-27,2021,TV-G,22,"Family,Music,Variety",Celebrate the timeless music of Disney Princess!
Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley,Scoot McNairy,Lester Speight,Sam Rockwell,Matt Gerald,Allen Maldonado",United States,2021-08-27,2014,TV-14,14,"Comedy,Drama,Thriller","Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker."
Movie,Underdog,Frederik Du Chau,"Jason Lee,Amy Adams,Jim Belushi,Peter Dinklage,Patrick Warburton,Alex Neuberger",United States,2021-08-27,2007,PG,85,"Action-Adventure,Family,Parody",A super-powered beagle tries to save Capital City from a mad scientist.
TV Show,Dr. K's Exotic Animal ER,0,"Dr. Susan Kelleher,Art Edmonds",0,2021-08-25,2014,TV-14,9,"Animals & Nature,Docuseries,Family",Dedicated veterinarians treat a colorful array of exotic pets in south Florida.
TV Show,Gigantosaurus,0,"Dylan Schombing,Áine Sunderland,Nahanni Mitchell,Nicholas Holmes",France,2021-08-25,2018,TV-Y,2,"Action-Adventure,Animation,Kids",Four dinos explore the mystery of the Gigantosaurus!
TV Show,Life Below Zero: Next Generation,0,Mocean Melvin,United States,2021-08-25,2020,TV-14,2,"Action-Adventure,Animals & Nature,Docuseries",The next generation of Alaskans struggle to survive without modern-day comforts.
Movie,Eragon,Stefen Fangmeier,"Ed Speleers,Jeremy Irons,Sienna Guillory,Robert Carlyle,John Malkovich,Garrett Hedlund","United States, United Kingdom, Hungary",2021-08-20,2006,PG,104,"Action-Adventure,Family,Fantasy","In a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure."
TV Show,Growing Up Animal,0,Tracee Ellis Ross,0,2021-08-18,2021,TV-PG,1,"Animals & Nature,Docuseries,Family",Magical stories of baby animals on the journey from womb to the wild.
Movie,Fantastic Four,Tim Story,"Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,Julian McMahon,Kerry Washington","United States, Germany",2021-08-13,2005,PG-13,106,"Action-Adventure,Family,Science Fiction",Four astronauts develop superpowers and must join forces to protect mankind from doom.
Movie,X-Men,Bryan Singer,"Patrick Stewart,Hugh Jackman,Ian McKellen,Halle Berry,Famke Janssen,James Marsden",United States,2021-08-13,2000,PG-13,105,"Action-Adventure,Family,Science Fiction","The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them."
TV Show,America's Funniest Home Videos: Animal Edition,0,Alfonso Ribeiro,0,2021-08-11,2021,TV-PG,1,Reality,NatGeo meets AMERICA’S FUNNIEST HOME VIDEOS in a hilarious new animal show
TV Show,Chicken Squad,0,"Ramone Hamilton,Gabriella Graves,Maxwell Simkins,Yvette Nicole Brown",United States,2021-08-11,2021,TV-Y,1,"Animation,Kids,Police/Cop",BAGAWK! Say hello to the Chicken Squad.
TV Show,Disney Presents Goofy in How to Stay at Home,0,"Bill Farmer,Corey Burton",0,2021-08-11,2021,TV-G,1,"Animation,Comedy,Family","Goofy’s back in a trio of all-new, hand-drawn animated shorts from Walt Disney Animation Studios."
TV Show,Gabby Duran And The Unsittables,0,"Kylie Cantrall,Maxwell Donovan,Callan Farris,Coco Christo,Valery Ortiz,Nathan Lovejoy",United States,2021-08-11,2018,TV-G,2,"Comedy,Family,Science Fiction","Meet Gabby Duran, your average alien-babysitting girl."
TV Show,What If...?,0,0,0,2021-08-11,2021,TV-14,1,"Action-Adventure,Animation,Anthology",“What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.
Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez,Odette Yustman,Miguel Ferrer,Ernie Hudson,Loretta Devine,Jon Huertas",United States,2021-08-06,2011,G,88,"Action-Adventure,Comedy,Family","Papi and Chloe, those talking Chihuahuas, are back... with a few surprises."
Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez,Odette Annable,Ernie Hudson,Miguel Ferrer,Kay Panabaker,Tom Kenny",United States,2021-08-06,2012,G,92,"Comedy,Coming of Age,Family","Papi plans a ""Quince"" for the littlest member of his pack."
Movie,Killer Shark vs Killer Whale,0,Edward Marcoux,0,2021-08-06,2021,TV-14,44,"Animals & Nature,Documentary",Orcas attack white sharks for their livers leaving scientists baffled.
Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Polly Holliday,Lisa Jakub",United States,2021-08-06,1993,PG-13,126,"Comedy,Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.
TV Show,Cesar Millan: Better Human Better Dog,0,Dustin Rubin,0,2021-08-04,2021,TV-14,1,"Animals & Nature,Docuseries,Family",Renowned Dog Behaviorist Cesar Millan transforms dogs and pet parents.
TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,0,0,0,2021-08-04,2020,PG,2,"Animation,Anthology,Family",Welcome to Short Circuit - an experimental short film program at Disney Animation.
Movie,Built for Mars: The Perseverance Rover,Mark J Davis,Steven French,0,2021-07-30,2021,TV-PG,88,Documentary,BUILT FOR MARS: THE PERSEVERANCE ROVER follows the birth of the Perseverance rover.
Movie,Garfield,Peter Hewitt,"Breckin Meyer,Jennifer Love Hewitt,Stephen Tobolowsky,Bill Murray,Evan Arnold,Mark Lawrence",United States,2021-07-30,2004,PG,82,"Comedy,Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him."
TV Show,Chip 'n' Dale: Park Life,0,"Matthew Géczy,Kaycie Chase,Bill Farmer,Sylvain Caruso",0,2021-07-28,2021,TV-Y7,1,"Animation,Buddy,Comedy",Two tiny chipmunks have huge adventures while trying to live the good life in a big city park.
TV Show,Critter Fixers: Country Vets,0,Sullivan Jones,United States,2021-07-28,2020,TV-14,2,"Animals & Nature,Docuseries,Family",Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.
TV Show,Disney Junior T.O.T.S.,0,"Vanessa Williams,Megan Hilty,Jet Jurgensmeyer,Christian Simon",United States,2021-07-28,2018,TV-Y,2,"Animation,Buddy,Kids",Pip and Freddy are new Junior Fliers at T.O.T.S.!
TV Show,Mickey Mouse Funhouse,0,"Bret Iwan,Kaitlyn Robrock,Bill Farmer,Tony Anselmo,Tress MacNeille,Harvey Guillén",United States,2021-07-28,2021,TV-Y,1,"Animation,Kids",Mickey Mouse Funhouse is filled with silly adventure!
TV Show,Minnie's Bow-Toons: Party Palace Pals,0,"Tress MacNeille,Nika Futterman,Kaitlyn Robrock",0,2021-07-28,2021,TV-Y7,1,"Animation,Kids",Minnie and Daisy open a party planning business!
TV Show,Turning the Tables with Robin Roberts,0,Robin Roberts,0,2021-07-28,2021,TV-PG,1,Talk Show,Robin Roberts sits down with iconic Hollywood women for intimate & inspirational conversations.
Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano,John Leguizamo,Denis Leary,Seann William Scott,Josh Peck,Queen Latifah","United States, United Kingdom, Australia",2021-07-23,2006,PG,94,"Animation,Comedy,Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood."
Movie,Playing with Sharks,0,"Valerie Taylor,Dr. Sylvia Earle,Jeremiah Sullivan,Wendy Benchley,Jean Michel Cousteau,Michele Hall",0,2021-07-23,2021,TV-14,91,"Animals & Nature,Biographical,Documentary","""Playing with Sharks"" captures the life of conservationist Valerie Taylor."
Movie,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,0,2021-07-23,2020,TV-14,44,"Animals & Nature,Documentary",Shark vs. Surfer visits shark-infested surf spots to relive the harrowing encounters.
Movie,Shark vs. Whale,0,Ted Stewart,0,2021-07-23,2020,TV-PG,44,"Animals & Nature,Documentary",Marine biologist Ryan Johnson discovers rare behavior of a whale attacking a great white.
Movie,Stuntman,Kurt Mattila,Eddie Braun,0,2021-07-23,2021,TV-14,87,Documentary,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.
Movie,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo,Justin Long,Tiya Sircar,Skyler Stone,Angourie Rice,Charlie Rowe",0,2021-07-23,2013,PG,88,"Action-Adventure,Family,Fantasy",A young dinosaur named Patchi must find his courage to lead the herd.
Movie,What the Shark?,0,Robert Davi,0,2021-07-23,2020,TV-PG,44,"Animals & Nature,Documentary",What the Shark? dives deep into the environments where adaptation is critical to survival.
TV Show,Behind the Attraction,0,Paget Brewster,0,2021-07-21,2021,TV-PG,1,"Docuseries,Family",Behind the Attraction takes you on a wild ride behind Disney Parks' most iconic attractions!
TV Show,Disney The Owl House,0,"Sarah-Nicole Robles,Wendie Malick,Alex Hirsch,Tati Gabrielle,Issac Brown,Mae Whitman","United States, United Kingdom",2021-07-21,2020,TV-Y7,2,"Action-Adventure,Animation,Anime",Luz stumbles upon a portal to a magical new world.
TV Show,Meet Spidey and His Amazing Friends (Shorts),0,"Ben Valic,Melanie Minichino",0,2021-07-21,2021,TV-Y,1,"Action-Adventure,Animation,Kids",Meet the friends that help Spidey save the day!
TV Show,Mission Force One,0,"Justin Felbinger,Fiona Bishop,Ivy Bishop,Issac Ryan Brown,Sam Lavagnino,Dee Bradley Baker",0,2021-07-21,2017,TV-Y,1,"Action-Adventure,Animation,Kids",Five kids form an elite team to protect the universe!
TV Show,Turner & Hooch,0,"Josh Peck,Carra Patterson,Lyndsy Fonseca,Vanessa Lengies,Brandon Jay Mclaren,Anthony Ruivivar",0,2021-07-21,2021,TV-PG,1,"Action-Adventure,Buddy,Comedy",A Deputy Marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.
Movie,Most Wanted Sharks,0,0,0,2021-07-16,2020,TV-PG,44,"Animals & Nature,Documentary","In Most Wanted Sharks, Jeremiah Sullivan dives into the stories of shark all-stars."
Movie,Secrets of the Bull Shark,0,Keston John,0,2021-07-16,2020,TV-14,44,"Animals & Nature,Documentary",Secrets of the Bull Shark unravels the mystery of some of the most dangerous predators.
TV Show,Shark Attack Files,0,0,0,2021-07-16,2021,TV-14,1,"Animals & Nature,Docuseries,Reality",Learn the truth behind the most dramatic shark attacks of our time.
Movie,Shark Attack Investigation: The Paige Winter Story,0,0,0,2021-07-16,2021,TV-14,44,"Animals & Nature,Documentary",A teen survives facing one of the ocean’s deadliest predators.
Movie,Sharkcano,Andy Seestedt,Dan Nachtrab,0,2021-07-16,2020,TV-PG,44,"Animals & Nature,Documentary",Dr. Michael Heithaus sets out to reveal the connection between sharks and volcanoes.
Movie,We Bought a Zoo,Cameron Crowe,"Matt Damon,Scarlett Johansson,Thomas Haden Church,Patrick Fugit,Colin Ford,Elle Fanning",United States,2021-07-16,2011,PG,125,"Animals & Nature,Drama,Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.
Movie,World's Biggest Bullshark,0,Jason Hildebrandt,0,2021-07-16,2021,TV-PG,44,"Animals & Nature,Documentary","How one of the largest Bull Sharks ever caught, grew to become a giant."
Movie,World's Most Dangerous Shark?,Kevin Bachar,Brain Cade,0,2021-07-16,2021,TV-14,44,"Animals & Nature,Documentary",Are Oceanic White Tips the most dangerous of all the sharks?
TV Show,So Random!,0,"Tiffany Thornton,Sterling Knight,Brandon Mychal Smith,Doug Brochu,Allisyn Ashley Arm",United States,2021-07-14,2011,TV-G,1,"Comedy,Coming of Age",A musical sketch comedy show.
Movie,Flicka,Michael Mayer,"Alison Lohman,Tim McGraw,Maria Bello,Ryan Kwanten,Danny Pino,Dallas Roberts","United States, United Kingdom",2021-07-09,2006,PG,95,"Animals & Nature,Coming of Age,Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.
Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",Thomas Astruc,"Cristina 'Vee"" Valenzuela,Bryce Papenbrook,Keith Silverstein,Carrie Keranen,Todd Haberkorn,Max Mittelman",0,2021-07-09,2021,TV-Y7-FV,54,"Animation,Fantasy",Marinette heads to Shanghai to meet Adrien.
Movie,Orca vs. Great White,Sigmund Spath Jr.,"Kina Scollay,Ingrid Visser,Ray Robertson",0,2021-07-09,2021,TV-14,44,"Animals & Nature,Documentary",Researchers investigate if orcas are hunting great whites in New Zealand.
Movie,Rogue Shark?,Mark Woodward,Mocean Melvin,0,2021-07-09,2021,TV-14,44,"Animals & Nature,Documentary","A vacation hot spot is rocked by a series of shark attacks, chaos reigns."
Movie,Shark Beach with Chris Hemsworth,Sally Aitken,Chris Hemsworth,United States,2021-07-09,2021,TV-PG,44,"Animals & Nature,Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.
Movie,Shark Gangs,"Jacob Cobi Benattia, Pete Berg, James Buchanan",0,0,2021-07-09,2021,TV-14,44,"Animals & Nature,Documentary",Scientists investigate why some sharks roam the oceans in gangs.
Movie,The Croc That Ate Jaws,Mark Woodward,Dan Nachtrab,0,2021-07-09,2021,TV-14,44,"Animals & Nature,Documentary",What happens when two of the deadliest predators go head to head?
TV Show,When Sharks Attack,0,Eric Meyers,United States,2021-07-09,2013,TV-14,7,Reality,National Geographic investigates shark attacks.
TV Show,Breaking Bobby Bones,0,Bobby Bones,United States,2021-07-07,2021,TV-14,1,"Action-Adventure,Docuseries,Reality",Bobby Bones travels to meet local heroes who challenge him to conquer their trades.
TV Show,Mickey Mouse Mixed-Up Adventures,0,"Bret Iwan,Russi Taylor,Bill Farmer,Daniel Ross,Tress MacNeile",United States,2021-07-07,2019,TV-Y,1,"Animation,Kids,Sports",Hot Dog! Get mixed-up with Mickey and all of his pals!
TV Show,Monsters at Work,0,"Billy Crystal,John Goodman,Ben Feldman,Mindy Kaling,Henry Winkler,Lucas Neff",United States,2021-07-07,2021,TV-G,1,"Animation,Comedy,Family","""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester."
Movie,"The Good, The Bart, and The Loki",David Silverman,"Dan Castellaneta,Nancy Cartwright,Yeardley Smith",0,2021-07-07,2021,TV-PG,6,"Animation,Comedy,Fantasy","Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes."
TV Show,Disney Raven's Home,0,"Raven-Symoné ,Issac Brown,Navia Robinson,Jason Maybaum,Sky Katz,Anneliese van der Pol",United States,2021-07-02,2016,TV-G,4,"Comedy,Family,Fantasy",Raven and Chelsea raise their three children together.
Movie,The Sandlot,David Mickey Evans,"Art La Fleur,Tom Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi,Marty York",United States,2021-07-02,1993,PG,101,"Comedy,Coming of Age,Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.
Movie,The Sandlot 2,David Mickey Evans,"Max Lloyd-Jones,James Willson,Samantha Burton,Brett Kelly,James Earl Jones,Cole Evan Weiss",United States,2021-07-02,2005,PG,98,"Comedy,Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge."
Movie,Adventures in Babysitting,Chris Columbus,"Elisabeth Shue,Maia Brewton,Keith Coogan,Anthony Rapp,Calvin Levels,Vincent Phillip D'Onofrio",United States,2021-06-25,1987,TV-PG,102,"Action-Adventure,Comedy,Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.
TV Show,Running Wild with Bear Grylls,0,Bear Grylls,United States,2021-06-25,2019,TV-PG,2,"Action-Adventure,Reality,Survival",Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.
TV Show,The Mysterious Benedict Society,0,"Tony Hale,Kristen Schaal,Mystic Inscho,Seth Carr,Marta Kessler,Emmy DeOliveira",United States,2021-06-25,2021,TV-PG,1,"Action-Adventure,Family",Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.
Movie,Wolfgang,David Gelb,Wolfgang Puck,0,2021-06-25,2021,TV-PG,80,"Biographical,Documentary",Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.
TV Show,Dino Ranch,0,"Tyler Nathan,Jacob Mazeral,Ava Ro,Scott Gorman,Athena Karkanis",Canada,2021-06-18,2021,TV-Y,1,"Animation,Kids,Western","Join the Cassidy family on their ""prewestoric"" farm!"
TV Show,Disney Just Roll With It,0,"Ramon Reed,Kaylin Hayman,Suzi Barrett,Tobie Windham",United States,2021-06-18,2018,TV-Y7,2,"Comedy,Family",This family's fate rests in the hands of the audience!
TV Show,"Heartland Docs, DVM",0,"Dr. Erin Schroeder,Dr. Ben Schroeder",United States,2021-06-18,2019,TV-14,3,"Animals & Nature,Docuseries,Family",Heartland vets Ben and Erin Schroeder live and work among farmers in the Midwest.
Movie,Luca,Enrico Casarosa,"Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Maya Rudolph,Marco Barricelli,Jim Gaffigan",United States,2021-06-18,2021,PG,101,"Animation,Buddy,Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera."
TV Show,Star Wars Vintage: Droids,0,"Anthony Daniels,R2-D2,Lesleh Donaldson,Andrew Sabiston,Don Francks,Dan Hennessey",0,2021-06-18,1985,TV-Y7-FV,2,"Action-Adventure,Animation,Fantasy",Share the early adventures of R2-D2 and C-3PO in this action-packed animated series!
